,year,quarter,ent_code,ent_nombre,pob_total,pob_hombres_total,pob_mujeres_total,pet_hombres_15mas,pet_mujeres_15mas,pea_hombres,pea_mujeres,ing_prom_mes_total,ing_prom_hora_total,periodo
124,2018,4,29,Tlaxcala,,,,,,,,,,2018-T4
125,2018,4,30,Veracruz,,,,,,,,,,2018-T4
126,2018,4,31,Yucatán,,,,,,,,,,2018-T4
127,2018,4,32,Zacatecas,,,,,,,,,,2018-T4
128,2019,1,1,Aguascalientes,,,,,,,,,,2019-T1
129,2019,1,2,Baja California,,,,,,,,,,2019-T1
130,2019,1,3,Baja California Sur,,,,,,,,,,2019-T1
131,2019,1,4,Campeche,,,,,,,,,,2019-T1
132,2019,1,5,Coahuila,,,,,,,,,,2019-T1
133,2019,1,6,Colima,,,,,,,,,,2019-T1
134,2019,1,7,Chiapas,,,,,,,,,,2019-T1
135,2019,1,8,Chihuahua,,,,,,,,,,2019-T1
136,2019,1,9,Ciudad de México,,,,,,,,,,2019-T1
137,2019,1,10,Durango,,,,,,,,,,2019-T1
138,2019,1,11,Guanajuato,,,,,,,,,,2019-T1
139,2019,1,12,Guerrero,,,,,,,,,,2019-T1
140,2019,1,13,Hidalgo,,,,,,,,,,2019-T1
141,2019,1,14,Jalisco,,,,,,,,,,2019-T1
142,2019,1,15,México,,,,,,,,,,2019-T1
143,2019,1,16,Michoacán,,,,,,,,,,2019-T1
144,2019,1,17,Morelos,,,,,,,,,,2019-T1
145,2019,1,18,Nayarit,,,,,,,,,,2019-T1
146,2019,1,19,Nuevo León,,,,,,,,,,2019-T1
147,2019,1,20,Oaxaca,,,,,,,,,,2019-T1
148,2019,1,21,Puebla,,,,,,,,,,2019-T1
149,2019,1,22,Querétaro,,,,,,,,,,2019-T1
150,2019,1,23,Quintana Roo,,,,,,,,,,2019-T1
151,2019,1,24,San Luis Potosí,,,,,,,,,,2019-T1
152,2019,1,25,Sinaloa,,,,,,,,,,2019-T1
153,2019,1,26,Sonora,,,,,,,,,,2019-T1
154,2019,1,27,Tabasco,,,,,,,,,,2019-T1
155,2019,1,28,Tamaulipas,,,,,,,,,,2019-T1
156,2019,1,29,Tlaxcala,,,,,,,,,,2019-T1
157,2019,1,30,Veracruz,,,,,,,,,,2019-T1
158,2019,1,31,Yucatán,,,,,,,,,,2019-T1
159,2019,1,32,Zacatecas,,,,,,,,,,2019-T1
160,2019,2,1,Aguascalientes,,,,,,,,,,2019-T2
161,2019,2,2,Baja California,,,,,,,,,,2019-T2
162,2019,2,3,Baja California Sur,,,,,,,,,,2019-T2
163,2019,2,4,Campeche,,,,,,,,,,2019-T2
164,2019,2,5,Coahuila,,,,,,,,,,2019-T2
165,2019,2,6,Colima,,,,,,,,,,2019-T2
166,2019,2,7,Chiapas,,,,,,,,,,2019-T2
167,2019,2,8,Chihuahua,,,,,,,,,,2019-T2
168,2019,2,9,Ciudad de México,,,,,,,,,,2019-T2
169,2019,2,10,Durango,,,,,,,,,,2019-T2
170,2019,2,11,Guanajuato,,,,,,,,,,2019-T2
171,2019,2,12,Guerrero,,,,,,,,,,2019-T2
172,2019,2,13,Hidalgo,,,,,,,,,,2019-T2
173,2019,2,14,Jalisco,,,,,,,,,,2019-T2
174,2019,2,15,México,,,,,,,,,,2019-T2
175,2019,2,16,Michoacán,,,,,,,,,,2019-T2
176,2019,2,17,Morelos,,,,,,,,,,2019-T2
177,2019,2,18,Nayarit,,,,,,,,,,2019-T2
178,2019,2,19,Nuevo León,,,,,,,,,,2019-T2
179,2019,2,20,Oaxaca,,,,,,,,,,2019-T2
180,2019,2,21,Puebla,,,,,,,,,,2019-T2
181,2019,2,22,Querétaro,,,,,,,,,,2019-T2
182,2019,2,23,Quintana Roo,,,,,,,,,,2019-T2
183,2019,2,24,San Luis Potosí,,,,,,,,,,2019-T2
184,2019,2,25,Sinaloa,,,,,,,,,,2019-T2
185,2019,2,26,Sonora,,,,,,,,,,2019-T2
186,2019,2,27,Tabasco,,,,,,,,,,2019-T2
187,2019,2,28,Tamaulipas,,,,,,,,,,2019-T2
188,2019,2,29,Tlaxcala,,,,,,,,,,2019-T2
189,2019,2,30,Veracruz,,,,,,,,,,2019-T2
190,2019,2,31,Yucatán,,,,,,,,,,2019-T2
191,2019,2,32,Zacatecas,,,,,,,,,,2019-T2
192,2019,3,1,Aguascalientes,,,,,,,,,,2019-T3
193,2019,3,2,Baja California,,,,,,,,,,2019-T3
194,2019,3,3,Baja California Sur,,,,,,,,,,2019-T3
195,2019,3,4,Campeche,,,,,,,,,,2019-T3
196,2019,3,5,Coahuila,,,,,,,,,,2019-T3
197,2019,3,6,Colima,,,,,,,,,,2019-T3
198,2019,3,7,Chiapas,,,,,,,,,,2019-T3
199,2019,3,8,Chihuahua,,,,,,,,,,2019-T3
200,2019,3,9,Ciudad de México,,,,,,,,,,2019-T3
201,2019,3,10,Durango,,,,,,,,,,2019-T3
202,2019,3,11,Guanajuato,,,,,,,,,,2019-T3
203,2019,3,12,Guerrero,,,,,,,,,,2019-T3
204,2019,3,13,Hidalgo,,,,,,,,,,2019-T3
205,2019,3,14,Jalisco,,,,,,,,,,2019-T3
206,2019,3,15,México,,,,,,,,,,2019-T3
207,2019,3,16,Michoacán,,,,,,,,,,2019-T3
208,2019,3,17,Morelos,,,,,,,,,,2019-T3
209,2019,3,18,Nayarit,,,,,,,,,,2019-T3
210,2019,3,19,Nuevo León,,,,,,,,,,2019-T3
211,2019,3,20,Oaxaca,,,,,,,,,,2019-T3
212,2019,3,21,Puebla,,,,,,,,,,2019-T3
213,2019,3,22,Querétaro,,,,,,,,,,2019-T3
214,2019,3,23,Quintana Roo,,,,,,,,,,2019-T3
215,2019,3,24,San Luis Potosí,,,,,,,,,,2019-T3
216,2019,3,25,Sinaloa,,,,,,,,,,2019-T3
217,2019,3,26,Sonora,,,,,,,,,,2019-T3
218,2019,3,27,Tabasco,,,,,,,,,,2019-T3
219,2019,3,28,Tamaulipas,,,,,,,,,,2019-T3
220,2019,3,29,Tlaxcala,,,,,,,,,,2019-T3
221,2019,3,30,Veracruz,,,,,,,,,,2019-T3
222,2019,3,31,Yucatán,,,,,,,,,,2019-T3
223,2019,3,32,Zacatecas,,,,,,,,,,2019-T3
224,2019,4,1,Aguascalientes,,,,,,,,,,2019-T4
225,2019,4,2,Baja California,,,,,,,,,,2019-T4
226,2019,4,3,Baja California Sur,,,,,,,,,,2019-T4
227,2019,4,4,Campeche,,,,,,,,,,2019-T4
228,2019,4,5,Coahuila,,,,,,,,,,2019-T4
229,2019,4,6,Colima,,,,,,,,,,2019-T4
230,2019,4,7,Chiapas,,,,,,,,,,2019-T4
231,2019,4,8,Chihuahua,,,,,,,,,,2019-T4
232,2019,4,9,Ciudad de México,,,,,,,,,,2019-T4
233,2019,4,10,Durango,,,,,,,,,,2019-T4
234,2019,4,11,Guanajuato,,,,,,,,,,2019-T4
235,2019,4,12,Guerrero,,,,,,,,,,2019-T4
236,2019,4,13,Hidalgo,,,,,,,,,,2019-T4
237,2019,4,14,Jalisco,,,,,,,,,,2019-T4
238,2019,4,15,México,,,,,,,,,,2019-T4
239,2019,4,16,Michoacán,,,,,,,,,,2019-T4
240,2019,4,17,Morelos,,,,,,,,,,2019-T4
241,2019,4,18,Nayarit,,,,,,,,,,2019-T4
242,2019,4,19,Nuevo León,,,,,,,,,,2019-T4
243,2019,4,20,Oaxaca,,,,,,,,,,2019-T4
244,2019,4,21,Puebla,,,,,,,,,,2019-T4
245,2019,4,22,Querétaro,,,,,,,,,,2019-T4
246,2019,4,23,Quintana Roo,,,,,,,,,,2019-T4
247,2019,4,24,San Luis Potosí,,,,,,,,,,2019-T4
248,2019,4,25,Sinaloa,,,,,,,,,,2019-T4
249,2019,4,26,Sonora,,,,,,,,,,2019-T4
250,2019,4,27,Tabasco,,,,,,,,,,2019-T4
251,2019,4,28,Tamaulipas,,,,,,,,,,2019-T4
252,2019,4,29,Tlaxcala,,,,,,,,,,2019-T4
253,2019,4,30,Veracruz,,,,,,,,,,2019-T4
254,2019,4,31,Yucatán,,,,,,,,,,2019-T4
255,2019,4,32,Zacatecas,,,,,,,,,,2019-T4
256,2020,1,1,Aguascalientes,,,,,,,,,,2020-T1
257,2020,1,2,Baja California,,,,,,,,,,2020-T1
258,2020,1,3,Baja California Sur,,,,,,,,,,2020-T1
259,2020,1,4,Campeche,,,,,,,,,,2020-T1
260,2020,1,5,Coahuila,,,,,,,,,,2020-T1
261,2020,1,6,Colima,,,,,,,,,,2020-T1
262,2020,1,7,Chiapas,,,,,,,,,,2020-T1
263,2020,1,8,Chihuahua,,,,,,,,,,2020-T1
264,2020,1,9,Ciudad de México,,,,,,,,,,2020-T1
265,2020,1,10,Durango,,,,,,,,,,2020-T1
266,2020,1,11,Guanajuato,,,,,,,,,,2020-T1
267,2020,1,12,Guerrero,,,,,,,,,,2020-T1
268,2020,1,13,Hidalgo,,,,,,,,,,2020-T1
269,2020,1,14,Jalisco,,,,,,,,,,2020-T1
270,2020,1,15,México,,,,,,,,,,2020-T1
271,2020,1,16,Michoacán,,,,,,,,,,2020-T1
272,2020,1,17,Morelos,,,,,,,,,,2020-T1
273,2020,1,18,Nayarit,,,,,,,,,,2020-T1
274,2020,1,19,Nuevo León,,,,,,,,,,2020-T1
